1004872	Jag ser ett hus.
1005042	Träden är gröna.
1005084	Det var en gång en fattig man och en rik kvinna.
1005086	Det var en gång en grym konung.
1005333	Hon läste inte boken.
1005344	Han skrev till sina föräldrar.
1022900	Talar du hebreiska?
1023185	Det finns ett äpple på bordet.
1023188	Jag förstår mig inte på musik.
1023190	Får jag äta detta?
1023494	Välkommen!
1023504	Du kan välja vilken du vill.
1023525	Hans hus var litet och gammalt.
1023603	Du kom inte till skolan i går.
1030323	Jag behöver kompisar.
1030667	Om du vill vara fri, förstör din tv.
1031256	Vi ska se.
1031805	Jag är kines.
1033581	Vilken frukt är röd?
1037726	Detta är min vän Tom.
1048537	I begynnelsen skapade Gud himmel och jord.
1058997	Har man sett på maken!
1058998	Se så.
1063547	Var är äpplena?
1063907	Nordkoreas tillbakadragne ledare besöker Ryssland för förhandlingar om energi.
1068430	Han beskrev i detalj vad som hade hänt.
1068437	För tillfället har jag inte nog med pengar.
1068444	Jag skrev ner hans namn för att jag inte skulle glöma det.
1068449	När Marko kom, sov jag.
1068452	Bob har flera böcker i sitt rum.
1068455	Nästa gång jag kommer på besök tar jag med mig blommor.
1074221	Den här filmen är för barn.
1074252	Jag är kvinna.
1074261	Hon gav mig de här gamla mynten.
1075497	Hans tal väckte känslor hos oss.
1078391	Hej världen!
1078760	I dag var havet varmt!
1090318	Jag har bröder.
1104349	Tycker du om japansk mat?
1104377	Han är trött på mina problem.
1104739	Jag kan inte tacka dig nog för det du gjorde för mig.
1108739	Jag är lärare.
1111392	Det är en fin dag.
1125594	Det är en sjukdom som inte kan förebyggas.
1125595	Tom kom för att be oss om hjälp.
1125596	Hon frågade var huset låg.
1125597	Min mamma kan inte läsa utan glasögon.
1125598	Jag måste göra klart läxan innan middagen.
1125599	Herr Yoshida har aldrig brutit ett löfte.
1125600	Han sade att han låg sjuk, vilket inte var sant.
1125602	Jag skämdes.
1125603	”Vad är det som händer i grottan? Jag är nyfiken.” ”Jag har ingen aning.”
1125606	Jag går till arbetet varje dag.
1125608	Det är allt annat än omöjligt.
1125611	Jag är japan, men du är amerikan.
1125614	Det är skönt att stiga upp tidigt.
1125615	Det var snudd på otänkbart att pojken skulle stjäla.
1125616	Han gick ut trots ösregnet.
1125617	Tom kunde knappt förstå vad Mary sade.
1125619	Man måste dra gränsen någonstans.
1125623	Han är lång och stilig.
1125624	Allt du behöver göra är att trycka på knappen.
1125626	Jag spelade tennis med min bror.
1125630	Är det din egen idé?
1125631	Var snäll mot andra.
1125632	Tro på dig själv.
1125641	Papegojan är död.
1125643	Guld är mycket tyngre än vatten.
1125646	Det är en harpa.
1125648	Nunnorna sjunger.
1125661	Din önskan har gått i uppfyllelse.
1125665	Utsikten är fantastisk.
1125666	Jag är i San Diego och ni bara måste komma och hälsa på mig!
1125670	På inrådan av sina astronomer bestämde sig Alexander den store för att inte attackera Egypten och for till Indien istället.
1125671	Vad kämpar du för?
1125679	Min syster tycker om Ultraman.
1125690	Tom öppnade dörren för Mary.
1125691	Det är en gammal kvinnas röst.
1125697	Jag blödde näsblod idag.
1125737	Det är Babas röst.
1125744	Jag tappade bort min väska på väg till skolan.
1125745	Jag vill inte gifta mig.
1125747	Det var inget sammanträffande.
1125763	För att dölja det faktum att hon var en princessa förklädde hon sig till en pojke och flydde från slottet.
1125764	Jag har aldrig träffat dig i verkligheten.
1125765	Du är trygg här med mig.
1125767	Det kan jag inte utesluta.
1125768	Det är roligt att spela baseball.
1125770	Mina föräldrar är väldigt stränga.
1125771	Låter det bekant?
1125778	Skit samma.
1125782	Ge mig dina tankar.
1125792	Jag har stämt träff med honom klockan tolv.
1125797	Alkohol löser inga problem, men det gör inte mjölk heller.
1125799	Han tvättar bilen.
1125812	Jag presenterade mig på mötet.
1125814	De betedde sig underligt.
1125817	Jag blev blöt ända in på skinnet.
1125828	Följ efter mig!
1125829	Jag pratade med min farbror i telefon.
1125830	Jag pratade med min morbror i telefon.
1125831	Det är svårt att skilja sanning från lögn.
1125833	Bill lyckades bli godkänd på provet.
1125834	Hon såg fram emot att gå på bio med honom.
1125836	På grund av några oundvikliga omständigheter i sommar kan jag inte bo i min semesterstuga.
1125837	Gnugga fläcken med vinäger.
1125838	De har tolv barn.
1125839	Tyvärr dog hon ung.
1125840	Hon tycker om rysk pop.
1125842	Hon var försiktig med att inte slå sönder glasen.
1125844	Följ den här gatan i ungefär fem minuter.
1125845	Tom kan komma på vår fest i morgon.
1125846	Tom berättade för Mary om John.
1125848	Tom tar en promenad varje eftermiddag.
1125849	Det stod i tidningen att ännu ett krig har brutit ut i Afrika.
1125851	Jag har fått nog!
1125852	Jag har varit död förr, och det var inte så illa.
1125853	Det låter som en bra idé.
1125858	Han stiger upp klockan sju.
1125859	Hon har satt sitt hus till försäljning.
1125860	Det ligger affärer längs gatan.
1125861	Var snäll och dela ut korten.
1125863	Jag skulle inte vilja vara i hennes skor.
1125864	Jag tänkte ringa honom, men jag kom på bättre tankar.
1125865	Detsamma gäller Japan.
1125866	Jag har massor av kameror.
1125867	Vad är de gjorda av?
1125868	Jag har bestämt mig för att gå i pension.
1125869	Tåget avgår om tio minuter.
1125870	Du borde inte gå ut i den här kylan.
1125871	Jag är rädd för bussen.
1125873	De här kängorna tillhör henne.
1125874	Tom tror inte att detta är någon tillfällighet.
1125875	Hon måste hjälpa honom.
1125877	Inget är omöjligt för Gud.
1125878	Tappa inte den där koppen.
1125879	Hon har en väldigt prydlig handstil.
1125880	Jag vet inte vad rätt svar är.
1125881	Jag hatar alla slags insekter.
1125883	Du förstör alltid allting.
1125884	Hennes söner har åkt till Tokyo.
1125885	Hon rådde honom att ta medicinen.
1125888	Tom och Mary vaknade tidigt för att se årets första soluppgång.
1125889	Hur länge har det snöat?
1125891	Han besökte ett barnhem i Texas.
1125893	Du måste sluta ljuga för dig själv.
1125895	Den här skolan grundades år 1970.
1125896	De talar spanska i Mexiko.
1125897	Nej, jag gick ut.
1125901	Allt är Toms fel.
1125902	Du borde inte döma folk efter utseendet.
1125904	Vad oroar du dig för?
1125906	Explosionen skakade hela byggnaden.
1125907	Jag kunde inte föreställa mig att jag skulle känna såhär för dig.
1125908	Vi har diskuterat det här problemet nyligen.
1125909	Det här är löjligt!
1125910	För Guds skull.
1125911	Min dator har hängt sig.
1125912	Jar har ett hus i bergen.
1125913	Det kommer att ta några dagar att gå in de här skorna.
1125914	Trots alla hennes brister gillar jag henne.
1125917	Hon kommer aldrig i tid.
1125918	Pojken gjorde sig lustig över flickan.
1125920	Den här stenen är dubbelt så tung som den där.
1125921	Det är något fel på min bil.
1125922	Tom bestämde sig för att säga upp sig.
1125923	Till slutet av veckan.
1125924	Meg ringde efter dig medan du var borta.
1125925	Han är grov till sättet.
1125926	Tom verkar sova.
1125927	När det slutar regna ska vi ta en promenad.
1125928	Tom bad Mary hålla ett tal.
1125929	En morgon såg han en söt flicka.
1125930	Han såg ut som om han vore sjuk.
1125932	Hon är på intet vis självisk.
1125933	Jag har aldrig blivit kär i någon tjej.
1125934	Hon lyckades inte övertala honom till att hålla tal.
1125936	Han förblev obesegrad under hela sin karriär.
1125937	Du passar bra i kort hår.
1125938	Jag fick reda på var hon var.
1125939	Har du redan bokat våra platser på flygplanet?
1125940	Jag vill lära mig standardengelska.
1125941	Jag tror på hennes berättelse.
1125943	Jag läste just ut Svindlande höjder.
1125944	Många använder uttagsautomater för att ta ut pengar.
1125946	Jag borde ha vetat bättre än att ringa honom.
1125947	Tom somnade till slut.
1125953	Gick du i skolan idag?
1125955	Han har cancer.
1125956	Vilken vacker fågel det är!
1125957	Jag har inte tid för dig.
1125959	Jag vet att hon har varit upptagen.
1125961	Jag skulle vilja att du betalar i förskott.
1125971	Den ekonomiska situationen är inte bra just nu.
1125976	Den här roboten gör vad jag än säger. Det är till stor hjälp när jag är för trött för att göra någonting. Inte alltför troligt, va?
1125979	Den här boken är tung.
1126007	Det ska snöa idag.
1126136	Han jobbade hårt för att försörja sin familj.
1126140	Jag har ont i fötterna.
1126182	Hon frågade honom varför han grät.
1126196	Vi skyndade oss till tågstationen.
1126199	Staden grundades år 573.
1126212	Katten sov på bordet.
1126302	Hon säger att hon älskar blommorna.
1126310	Min bror anländer imorgon bitti.
1126313	Vi planerar en resa till New York.
1126325	Hans bil liknar min.
1126329	Enligt väderprognosen ska det snöa i morgon.
1126334	Den här boken är lika intressant som den där.
1126337	Jag försöker lösa det här problemet.
1126341	Hur lång är du?
1126362	Igår var det fredag och i övermorgon är det måndag.
1126364	Han är stolt över att vara musiker.
1126367	Bill talar lite japanska.
1126386	Skjut inte budbäraren.
1126396	Jag beklagar detta missförstånd.
1126400	Den här kameran är billig.
1126404	Han har skrivit många böcker om Kina.
1126408	Min son tror på jultomten.
1126409	Vad är det här? Det här är en stol.
1126411	Var hittade du nyckeln?
1126475	Hjälp mig!
1126706	Jag kan bo i gästrummet.
1126816	Bron förbinder de två städerna.
1126819	Jag åt med min lillebror.
1127121	Han hade massor att göra.
1127122	Följer du med mig till affären?
1127123	Vi hade väldigt kul.
1127124	Alister dödade Barbara.
1127146	Jag är inte så förtjust i grönt te.
1127148	Ställ den var som helst.
1127153	Det kommer att kosta minst fem dollar.
1127155	Jag är typen som skyr risker som pesten.
1127158	Han är medveten om faran.
1127159	Är hon trevlig?
1127161	Jag kom hit tillsammans med mina vänner.
1127659	Varje person betalade tusen dollar.
1127683	Tusentals utlänningar besöker Japan varje år.
1127685	Det här är min katt.
1127687	Hunden följde efter honom vart han än gick.
1127691	Julen närmar sig.
1127998	Jag är fortfarande arg på henne.
1128109	Hon drömde om vilda jaguarer.
1128440	Var god och fyll i detta formulär först.
1128465	Tom tror att Mary fattade rätt beslut.
1128739	Du borde inte gå ut.
1128743	Det kommer att ta tre månader för vår nya skolbyggnad att bli färdig.
1128749	Jag oroar mig över hans hälsa.
1129239	Jag studerar koreanska.
1129835	Välkommen till mitt liv.
1129836	Han dricker för mycket.
1129837	Se dig omkring.
1129839	Du är anhållen.
1129840	Har du pengarna?
1129841	Jag har aldrig varit i Argentina.
1129842	Vilken är din favoritsnabbmatsrestaurang?
1129848	Jag är finsk, men jag talar svenska också.
1129849	Han hade snö upp till knäna.
1129852	Du har bara en chans att svara rätt.
1129854	Det är första min far skrev.
1129856	Det trodde jag aldrig om dig.
1129857	Vi har ett väldigt allvarligt problem.
1129858	Män vet inget om kvinnor.
1129864	Det är en papegoja i fågelburen.
1129867	Vi kysstes.
1129868	Jag tycker om att mata duvorna.
1129870	Har du lite bröd? Jag ska mata duvorna.
1129871	Vi hade en överenskommelse. Du bröt den.
1129872	Minns du den gången vi åkte till Paris?
1129873	Matade du papegojorna?
1129878	Du måste ha blandat ihop mig med någon annan.
1129881	Vi har två barn.
1130736	Sluta klaga och gör som du blivit tillsagd.
1130739	Ta en karta med dig ifall du skulle gå vilse.
1130740	Det nuvarande lösenordet är ”eosdigital”.
1130741	Jag letar efter mina nycklar.
1130743	Tom gjorde klart läxan innan kvällsmaten.
1130750	Hunden blöder.
1130751	Varför gör du så mot mig?
1130752	Det här är första gången jag skriver ett brev på spanska.
1130753	Min bror är lärare.
1130754	Trots att jag har läst engelska 6 år i skolan talar jag det inte bra.
1130755	Tom är verkligen ledsen.
1131155	Han talar lite engelska.
1131156	Hur var det?
1131158	Flickan dricker te.
1131159	Kommer han hem klockan sex?
1131162	Vilken är nästa station?
1131163	Han låtsas vara döv.
1131169	Var hälsad, gillesbroder.
1131170	Du är fin i håret.
1131172	Skaffa dig ett liv.
1131173	Jag hatar dig.
1131177	Må balroger äta dig.
1131191	En diskret hyllning till olycksoffren hölls igår.
1131194	Är det etiskt att ge honom intervjufrågorna i förväg?
1131196	Ett land utan horhus är inget land.
1131197	Det finns inga droger här.
1131198	Jag gillar utmaningar.
1131201	Snabbmat kan vara beroendeframkallande.
1131204	Jag har inte tid att laga mat.
1131205	Jag vill inte laga mat.
1133269	Han hade ont i huvudet.
1133278	Det här monumentet restes i februari 1985.
1134742	Låt oss inte tänka så.
1134744	Tom sa att han trodde att Mary fortfarande bodde hos sina föräldrar.
1134746	Jag skulle vilja åka till Frankrike någon gång.
1134747	Han förnekade den uppgiften.
1134748	Jag heter Wang Jiaming.
1134749	Jag böjer mig inte en millimeter i den här frågan.
1134751	Mamma stannade i bilen medan pappa handlade.
1134752	Jag kommer inte på hans namn just nu.
1134753	Jag ångrar att jag åt ostronen.
1134754	Hon såg till att resenären hade mat och kläder.
1134755	Hon bar babyn på ryggen.
1134759	Han steg på tåget.
1134760	Hon betalade sju procents ränta på lånet.
1134762	Hon har en stuga vid havet.
1134764	Det jag inte vill förlora är kärlek.
1134766	Filosofi är egentligen hemlängtan: längtan att vara hemma överallt.
1134768	Fienden kastade in nya styrkor i slaget.
1134769	Ju mer vi har desto mer vill vi ha.
1134770	Jag hade en besvärlig tid.
1134774	En hund skäller.
1134775	Det är skräp. Släng det!
1134781	Om jag visste hennes namn och adress kunde jag skriva till henne.
1135017	Det här börjar bli svårt.
1135398	Bill hatar att hans far röker mycket.
1135401	Min pappa är starkare än din.
1135405	Tom gav inte upp.
1135409	Det är min bok.
1135414	Många människor dödades i kriget.
1135416	Hon spelade piano tillräckligt bra.
1135420	Han har problem.
1135421	John spelade gitarr och hans vänner sjöng.
1135422	Jag är dubbelt så gammal som du.
1135425	Slåss som en man!
1135427	Det här är en rökfri kupé.
1135440	Han borde ha varit färdigt nu.
1135454	Att förlora min dotter har berövat mig livsglädjen.
1135457	Du är en ängel som handlar åt mig.
1135466	Han hatar att bli tillsagd att skynda sig.
1135471	Så vitt jag vet är han inte lat.
1135473	Jag ogillar att vara ensam.
1135475	Det blev oavgjort.
1135487	Det är knappast värt att bry sig om honom.
1135495	Tåget avgick i tid.
1135499	Vem vikarierar för Tom medan han är borta?
1135504	Jag är mycket glad att lära känna er.
1135511	Eftersom han ljög straffades han.
1135722	Jag föredrar att åka tåg framför att flyga.
1135778	Vad gör den här stolen här?
1135782	Tom bär alltid en karta och kompass i sin väska.
1135784	Det var en så kraftfull explosion att taket flög av.
1135799	Det här svärdet är i gott skick.
1135807	Många unga i Japan äter bröd till frukost.
1135808	Är vädret fint?
1135809	Mötet varade till 5.
1135812	Vet du varför han skolkade idag?
1135815	Hon är utom sig av glädje.
1135817	Vad sägs om att stanna?
1135819	Jag visste att jag var tvungen att berätta sanningen för honom, men jag kunde inte förmå mig till det.
1135820	Du frågar fel person.
1135823	Jag ringer min man.
1135824	Jag gillar att gå en tur i parken.
1135827	Biljetterna är slutsålda.
1135830	Är det nyttigt för dig att äta fisk?
1135831	Han bad om min hjälp.
1135833	Han kallades att vittna.
1135834	Allt du behöver göra är att vänta och se.
1135835	Barnet slutade gråta.
1135836	Jag tänker på dig hela tiden.
1135837	Vår engelsklärare är både sträng och snäll.
1135838	Han är inte vad han utger sig för.
1135839	Månen är mycket vacker i kväll.
1135840	Jag gör det om du stöttar mig.
1135841	Medicinen var hennes sista utväg.
1135842	Hur är den nya ledaren?
1135843	Vi väntar främmande i kväll.
1135844	Du borde rensa ogräset.
1135846	Jag glömde mina bilnycklar.
1135848	Till jul har vi känt varandra i tre år
1135849	Den ena talar engelska, den andra japanska.
1135850	Han var van att flyga ensam och hade i sin fantasi flugit rutten många gånger.
1135851	Ge inte upp halvvägs.
1135852	Är det utegångsförbud?
1135853	Han föll aldrig för frestelsen.
1135854	Denna salen tar 2000 personer.
1135856	Jämför de båda noggrant, så ska du se skillnaden.
1135857	Jag föreslår honom till ordförande oavsett om du är för det eller inte.
1135861	När det regnar så här får vi aldrig en chans att gå!
1135862	Tom satte sig i förarsätet och körde iväg.
1135864	Han är bara en vanlig kontorsråtta.
1135867	Äpplena han skickade mig var utsökta.
1135869	Jag vet var han bor. Men det är en hemlighet.
1135870	Det är svårt för en nybörjare att uppskatta vindsurfing.
1137436	När han log, såg barnen hans långa gråa tänder.
1137438	Underskottet har minskat lite i taget.
1137439	Jag gick inte på grund av sjukdom.
1137440	Några är dyra medan andra är väldigt billiga.
1137443	Visst är han ung, men han är mycket pålitlig.
1137444	Vi kunde inte godta hans berättelse.
1137446	Städa golvet med den här moppen, tack.
1137448	Hon är kvart över nio.
1137449	Det var varmt, och fuktigt till yttermera visso.
1137527	Vi såg inga flickor i gruppen.
1137535	Vilken föredrar du? Den här eller den där?
1137539	Toms nya skjorta krympte i tvätten så nu passar den inte.
1137543	Polisen lyckades hitta brottslingen.
1137546	Du påminner om en pojke som jag kände.
1137552	Hon varnade barnen för att leka på gatan.
1137554	Hon har en bild.
1137557	Till hans förvåning stannade tåget till kort.
1137564	Det finns en park i centrum.
1137568	Få saker ger oss så mycket nöje som musik.
1137573	Inte en människa syntes till i byn.
1137576	Tom slutade röka.
1137578	De krävde stränga straff för de södra rebellerna.
1137583	Jag yrkar att vi godkänner förslaget och att åtgärder vidtas så fort som möjligt.
1137584	Ser du efter barnen medan jag är ute?
1137585	Oddsen för att Reds vinner är 2 mot 1.
1137586	Du har ett meddelande här.
1137592	Om någon är politiker är det han.
1137595	Om inte människan tar hand om miljön kanske miljön eliminerar mänskligheten.
1137596	Tom är ute.
1137598	Spring fort, annars kommer du för sent till skolan!
1137601	Att äta en klyfta vitlök varje dag, är det nyttigt för dig?
1137602	Han vann matchen tack vare sin starka vilja.
1137604	Det är viktigt att följa en sträng diet.
1137607	Det är inte söndag varje dag.
