1004669	2001 е годината, с която започва 21-ви век.
1004670	Изчакай малко, прането ми е готово, ще ида да го простра.
1004671	Той се е оправил, затова скоро ще може да излезе от болницата.
1004673	По-хубав съм от теб.
1004674	Онази книга за кабуки може да е скъпа.
1004675	Да се позабавляваме.
1004676	Харесва ли ти въдицата?
1004678	Не особено.
1004680	Участниците се подготвят за последния кръг на състезанието.
1004681	Ние сме съпружеска двойка.
1004682	Женени сме един за друг.
1004684	Той успя, защото се труди усърдно.
1004686	Звънни ми, когато можеш.
1004687	Откъде съм?
1004688	Понякога падам, но никога не се предавам.
1004689	Какво мислиш?
1004690	Тя говори високо.
1004692	По-добре е да се използват пластмасови клечки за ядене и да се измиват, вместо да се използват еднократни клечки.
1004693	Моля заключете сейфа.
1004695	Може ли да го взема назаем за около 2 седмици?
1004697	Вие, момчета, изглеждате като пичове, които знаят как да си прекарат добре.
1004702	Разбираш ли ме?
1004703	Отидох до гарата да кажа чао на приятеля си.
1004704	Здрасти, Мег. Как си?
1004705	Трябва да ида на пазар; ще се след час.
1004706	Беше доста хладно.
1004708	Беше наистина студено.
1004709	Беше много студено.
1004710	Колкото и да остаряваш, винаги можеш да се учиш.
1004711	Той го занесе вкъщи, защото жена му го харесваше.
1004712	Беше по-евтино, отколкото бях мислил, че ще бъде.
1004713	Действителната цена беше по-ниска, отколкото мислех, че ще бъде.
1004714	Беше по-евтино, отколкото мислех, че ще бъде.
1004715	Трябва ли да ходиш до пощата?
1004819	Имам много книги.
1105117	Това животно е много интелигентно.
1105122	Той има много пари.
1105124	Аз съм реалистично мислещ човек.
1105150	Адана е известна с кебапа си, а Хатай - с канафеха.
1105156	Защо хората добавят прости и често срещани изречения като "Здравей", "Как си" и т.н.?
1105162	Юпитер е планета, съставена главно от водород и хелий.
1165730	Тя не трябва да работят.
1307217	Тя живее в Лондон.
1341573	Приятелката ми е много ревнива.
1400255	Небостъргачът е в центъра на града.
1405568	Осака е вторият по големина град в Япония.
1422007	Войната е мир. Свободата е робство. Невежеството е сила.
1443649	Аз съм много щастлив в Грузия.
1456333	Майка Тереза е родена в Югославия през 1910 година.
1458120	Исках само да си проверя електронната поща.
1458125	Разваленото месо имаше лош вкус.
1458128	Когато детето искаше последната версия на софтуера за PlayStation,то се държеше като разглезено дете.
1458142	Би ли сложил чиниите в мивката.
1458579	Прекарахме си стрхотно вакнцията в Швеция.
1458581	Kъде е входа ?
1458584	Моят внук е син на сина ми.
1458586	Моята малка сестра отива в училище за медицински сестри.
1458591	Какво ти липсва ?
1458592	Ние набрахме ябълки,така ,че можехме да си направим ябълков пай.
1458593	Ние обичаме крастотата.
1458595	Моят дядо е сериозно пострадал от бомба през войната.
1458942	Тя трепереше от страх.
1459366	Искам да уча.
1459367	Млякото замръзва и става твърдо.
1459475	Давай,скачай в езерото.
1459503	Малко съм уморен.
1459504	Какво беше това?
1459557	Тя го посещава доста често,но никога не остава прекалено дълго.
1459702	Голяма тълпа от хора чакаха.
1460960	Стоманата е най-полезният метал.
1460966	Сега когато той завърши,трябва да стане по сериозен.
1463082	Той ни даде не само нови дрехи,но и малко пари.
1463086	Обикновено моята сестра ходи на училище пеш.
1463207	Можеш да го направиш,давай,аз съм с теб.
1463211	Трябва да внимаваш,да не пропиляваш времето си.
1463214	Кучето се беше запъхтяло.
1463220	Тя ми го прошепна в ухото.
1464451	Как ми липсваш.
1464470	Не казаха нищо за инцидента по радиото.
1465022	Никога не ми казвай лъжи повече.
1465024	Някога виждал ли си я?
1465072	Око за око, зъб за зъб.
1466676	Това е нашата главна цел.
1466701	Чудя се къде да закъча картината която ти ми подари.
1466705	Мислиш ли,че съм луд?
1466711	Какво правиш,татко ?
1466712	Тя говореше бързо.
1466721	Някой грешки бяха поправени.
1468702	Кой може да ми помогне?
1468863	Това е вид животно което живее в морето.
1468867	Кейт е очарователна като нейната сестра.
1468868	Плуването е лесно.
1469195	Изгубих се,може ли да ми помогнеш?
1471034	Том не знае каква е разликата между астрономия и астрология.
1471040	Той нямаше намерение да напуска неговият роден град.
1473383	Аз чета тази книга.
1484506	Той изпадна в отчаяние след инцидента.
1486842	Неговата жена е изтощена след гледането на децата.
1488078	Никой не е толкова беден,че да неможе да си позволи да бъде спретнат.
1488080	Поддържай стаята си чиста и спретната.
1488238	Трябва да тръгвам скоро,защото оставих двигателя да работи.
1488240	Няма угаждане на разглезените деца.
1488246	Караницата развали нашето единство.
1488425	Виждал ли си палтото ми ?
1488434	Напълно съм сагласен с теб.
1488437	Том споделя много информация в интернет.
1488502	Например в България,когато някой клати глава означава да,а когато някой кимва с глава означава не.
1488504	Езици като руския, полския, чешкия и българския имат общи славянски корени.
1488505	Навън съм,карам колелото си.
1488508	Когато разговорът свърши,той казва приятелски довиждане и ми пожелава приятна вечер.
1488511	Няма изречения на английски в Tatoeba които да съдържат думата "Lego".
1488798	Той беше напълно изтощен.
1489846	Том иска да го помисли внимателно.
1489847	Сега е мой ред.
1489851	Мисля,че се разбира от само себе си,че той би дошъл.
1489852	Сега свободен ли си ?
1489853	Много хора смятат,че ретро автомобилите са доста скъпи.
1489854	Ние се запознахме в Лондон.
1489860	Грандиозното имение на правителството беше ограбено.
1489862	Доста е трудно да го разбереш.
1489863	Той работи цял ден и цяла нощ,би трябвало да е доста уморен.
1489864	Картофа беше толкова горещ,че дори ми изгори устата.
1489865	Къде по дяволите съм оставил ключовете от вкъщи.
1489868	Тя влезна през задната врата,за да не бъде видяна.
1489869	Футболният отбор се състои от единадесет играчи.
1489873	Решил съм да уча стенография.
1489875	Клуба има тридесет членове.
1489878	Отивайки си към вкъщи,я видях отново.
1489889	Никой не може да ме спре.
1489904	Нейният бизнес започна с капитал от 2,000 долара.
1490741	Когато слънцето на културата е ниско,дори и джуджетата хвърлят голяма сянка.
1490742	Мой приятел наскоро се подхлъзна на кола играчка оставена от сина му на стълбите и си счупи палеца на крака.
1490748	Двете дами се усмихнаха една на друга.
1490875	Материалното богатство често върви ръка за ръка с отхвърлянето от обществото.
1490876	Колко бързо той тича !
1490892	Звънецът звани.
1490893	Слушам рециталът му.
1491459	Той убеди майка си да му даде допълнителни пари.
1491496	Стаята носи чувтсто на уют.
1491565	Слънцето прониква през дебелите листа на дърветата.
1491581	Пиронът се заби в гумата на колата.
1492402	Том ми каза,че може да е чул нещо,но не беше сигурен какво беше.
1492405	Потупването по гърба беше дразнещо.
1492516	Градът спечелва популярност като главна туристическа дестинация.
1492903	Том е добряк.
1492904	Това е моята книга.
1492906	Надявам се,че той ще ме изчака.
1492907	Виждам съм това момиче преди.
1493345	Сумата на всички ъгли в триъгълника е 180 градуса.
1493346	Моля,намерете лицето на триъгълника.
1493347	Държавният служител беше издал тайната и той беше съден за издаване на държавна тайна.
1494440	Искаш ли да ти помогна.
1496059	Бурж Халифа е понастоящем най-високият небостъргач в света.
1504371	Търся работа.
1511479	Беше им забранено да напускат хотела.
1519838	Bсеки човек има право на закрила на моралните и материалните си интереси, които са резултат от каквото и да е научно, литературно или художествено произведение, на което той е автор.
