bul,eng,fin,por,spa,swe
6136,345908,405596,806813,1465072,2669010	12
6136,1309983,405596,806813,1465072,2669010	11
413731,2973,393116,423377,431729,3840549	10
1482,2685,340438,368188,762990,409675	10
1277,2482,893320,335579,760628,841635	9
1646,2822,397602,1009761,779830,3799868	9
486444,738648,1292494,1012591,821780,893157	9
486444,771956,1292494,1012591,821780,893157	9
255770,738648,1292494,1012591,821780,893157	9
255770,771956,1292494,1012591,821780,893157	9
33182,540477,404894,1019249,763631,495576	9
64918,519812,395118,1634272,782761,3744484	9
372352,539464,340457,2690866,760722,2655834	9
138919,375833,390881,1023491,3938020,1023494	9
321673,623851,1236338,2764975,829196,1995379	9
1482,1880786,340438,368188,762990,409675	9
1723,2889,340376,2662249,433855,1192004	9
1589584,345908,405596,806813,1465072,2669010	9
969134,1216467,1211873,1399604,4642884,1399601	9
1311884,1160492,4456434,1307213,1307217,1307216	9
1282,1130133,1573225,1031670,762366,1960593	8
1282,2487,1573225,1031670,762366,1960593	8
1860,2941,404989,1831768,3633423,1962460	8
1862,337088,1161572,388184,430545,372621	8
456237,337088,1161572,388184,430545,372621	8
2077,2965,3088368,442840,435318,1215764	8
31381,738648,1292494,1012591,821780,893157	8
321699,738648,1292494,1012591,821780,893157	8
31384,738648,1292494,1012591,821780,893157	8
486448,738648,1292494,1012591,821780,893157	8
321700,738648,1292494,1012591,821780,893157	8
31380,738648,1292494,1012591,821780,893157	8
31381,771956,1292494,1012591,821780,893157	8
321699,771956,1292494,1012591,821780,893157	8
31384,771956,1292494,1012591,821780,893157	8
486448,771956,1292494,1012591,821780,893157	8
321700,771956,1292494,1012591,821780,893157	8
31380,771956,1292494,1012591,821780,893157	8
255770,775319,1292494,1012591,821780,893157	8
39159,473526,1795383,355122,765470,1990314	8
39159,727546,1795383,355122,765470,1990314	8
51692,633277,404886,1193634,799477,409711	8
69766,770895,770811,3091347,2859864,1125624	8
528304,539464,340457,2690866,760722,2655834	8
70730,539464,340457,2690866,760722,2655834	8
361350,136209,404952,2951209,787997,2113058	8
259803,528491,405295,1031025,829186,1996388	8
317830,2306613,974064,1011548,767911,991450	8
321673,623853,1236338,2764975,829196,1995379	8
538123,431975,397074,7798192,3802858,509792	8
611372,611717,613204,2663900,762341,4947188	8
3795176,3975679,3317729,3796580,3791092,3837751	8
3795176,3788603,3317729,3796580,3791092,3837751	8
278213,609685,576685,885073,779620,1138545	8
2805893,1809192,4275154,1011584,3218066,964386	8
417891,345507,881884,5210716,821754,3436266	8
418622,856559,419182,826595,834503,2122254	8
2646730,3620802,3428259,3796603,3328962,3874149	8
64597,977651,769624,3208379,4605358,1583512	8
244268,940399,1275592,3085439,3256586,2780836	8
1589584,1309983,405596,806813,1465072,2669010	8
760524,1006848,1236253,2599701,760811,760525	8
1001625,1446289,1446295,1473500,1473383,1473365	8
2412739,2421408,2421407,3081416,3081394,3081367	8
1283,2488,331979,1030733,2817717,1975099	7
1284,2489,331974,1030736,762367,1404088	7
1295,456958,7162382,1858139,762369,1960468	7
1308,436802,893304,3076915,528232,1975236	7
1308,454574,893304,3076915,528232,1975236	7
1311,2517,397596,2740034,762376,1960607	7
774871,2947451,1701197,3373927,433087,3833834	7
1435,794537,397699,1264828,762411,2135512	7
1784,181221,397700,917714,430526,372474	7
1786,331211,340636,3090101,832224,1960789	7
1814,455958,397654,3796126,434056,848198	7
1050524,2965,3088368,442840,435318,1215764	7
392210,449942,341216,1634219,437141,409683	7
25534,2848,405022,3331849,765505,1995384	7
436243,2851,404974,1160750,3931439,742910	7
413731,603697,393116,423377,431729,3840549	7
370708,6144,393581,1804243,3009743,1804246	7
15913,497534,893438,3317847,821673,1433501	7
16300,727769,1205202,3569363,771193,4401171	7
17190,1236864,1206582,3319122,787990,1990284	7
17190,1236863,1206582,3319122,787990,1990284	7
18017,512412,393675,2932471,783055,4069452	7
20664,622333,414976,3230924,832194,1960583	7
20664,1320512,414976,3230924,832194,1960583	7
39609,523579,698090,1023179,4645866,1023185	7
21186,736709,868873,824394,771321,1960260	7
26246,541415,393713,2759755,771684,2389832	7
29846,445856,2785961,2788646,2787135,2785960	7
486444,775319,1292494,1012591,821780,893157	7
486444,1105256,1292494,1012591,821780,893157	7
486444,825039,1292494,1012591,821780,893157	7
486444,959649,1292494,1012591,821780,893157	7
72133,738648,1292494,1012591,821780,893157	7
72133,771956,1292494,1012591,821780,893157	7
255770,1105256,1292494,1012591,821780,893157	7
255770,825039,1292494,1012591,821780,893157	7
255770,959649,1292494,1012591,821780,893157	7
31380,775319,1292494,1012591,821780,893157	7
31381,1105256,1292494,1012591,821780,893157	7
31380,1105256,1292494,1012591,821780,893157	7
31380,825039,1292494,1012591,821780,893157	7
31381,959649,1292494,1012591,821780,893157	7
31384,959649,1292494,1012591,821780,893157	7
486448,959649,1292494,1012591,821780,893157	7
321700,959649,1292494,1012591,821780,893157	7
31380,959649,1292494,1012591,821780,893157	7
37981,692694,720876,1023503,3013995,1023504	7
37981,1412029,720876,1023503,3013995,1023504	7
53108,810017,957724,1262240,830035,1959152	7
529830,581201,1392849,824405,763642,2122257	7
69766,1066928,770811,3091347,2859864,1125624	7
73155,989542,990359,2622853,3548183,1796076	7
138919,332227,390881,1023491,3938020,1023494	7
242881,345513,390769,2662215,829139,3781310	7
433675,1235512,2716520,2277974,788000,1991628	7
268846,1415315,1417099,1612447,2819611,891252	7
467817,581778,1433826,1433849,776750,1433852	7
292479,772527,1236224,1153228,771669,2269414	7
295297,341358,391548,2599924,779658,1991615	7
317830,449318,974064,1011548,767911,991450	7
321850,520003,1202031,1085363,765455,1972809	7
254072,1437426,411538,1030652,787942,2514413	7
329713,403913,397611,778578,3694724,849444	7
373330,431975,397074,7798192,3802858,509792	7
1858850,431975,397074,7798192,3802858,509792	7
410779,989535,990361,3373173,822746,1990457	7
435772,1306033,1470050,4044320,771277,1990500	7
456449,456450,1289403,2616178,456843,2048353	7
477061,479870,479871,509769,3946200,5239917	7
594724,3635693,5599505,1188340,5599592,3829817	7
594724,3635692,5599505,1188340,5599592,3829817	7
672254,1384563,1198101,2638452,4713974,1990261	7
611372,611718,613204,2663900,762341,4947188	7
1586723,1625353,1586894,2914769,2914782,1626903	7
1977825,1624739,1869684,2736864,4527928,1988861	7
1885865,2011175,5979347,6569761,2348247,2005644	7
1886370,2004186,2453433,6771664,2370819,1998359	7
1904430,2194533,2309773,2680771,2378096,2015717	7
1977902,2001346,1977898,6712796,2631922,2291286	7
3373158,3778408,2747266,3796554,3802859,3799853	7
1355,2561,405298,3395108,2817789,7687772	7
1372,2578,340716,1177454,2817785,7688903	7
1638,2815,404816,3090528,764367,2619852	7
37769,844934,381631,4117799,4714540,2147541	7
55842,2865527,2615876,3090513,2615822,2615820	7
289812,1450985,1683768,2145651,2312610,2145649	7
321497,685460,2569245,3634972,783069,1307054	7
322004,1190825,1190058,3312517,787917,2009009	7
2086167,477133,2086797,1019251,821790,3833335	7
408103,715760,389105,1186164,2847576,2143175	7
433457,576612,576704,5729362,779655,3811760	7
544691,1249616,1213914,1012462,787996,926201	7
1024616,1390101,2592343,3790195,2817666,3790864	7
1024616,2758766,2592343,3790195,2817666,3790864	7
1886788,2135003,5057725,2687916,2348225,2035037	7
1887502,3847223,3801862,2762586,2374190,2051133	7
3241647,3248436,3248381,3872691,3260921,3873235	7
24674,1321799,1220258,3580635,771117,3720663	7
35894,771897,770670,1184773,762246,848096	7
253002,2783563,2785397,2765557,834047,2508243	7
261026,509879,2175776,3059079,834567,3793262	7
321826,573649,1213858,1631687,765515,912904	7
406604,576768,576760,3379266,779747,2085320	7
415554,445850,421954,3712652,829860,3712653	7
435769,611156,576697,5370192,779632,5333190	7
542040,544295,923859,2522351,771658,2522350	7
634028,634723,2715198,1011608,2311933,949131	7
634028,2711497,2715198,1011608,2311933,949131	7
2389879,2456046,7256465,2759160,3244459,2482783	7
2635206,2635208,2635207,5769849,2787303,7585990	7
263886,554130,4357319,2004038,760691,2004035	7
312448,1160492,4456434,1307213,1307217,1307216	7
1311884,4429619,4456434,1307213,1307217,1307216	7
2412739,2421423,2421407,3081416,3081394,3081367	7
1027273,1037618,1054649,3395745,2313594,1037726	7
2346862,2346878,2346864,2346900,2346898,2346886	7
3188595,3201103,3200266,3371681,3200258,3200271	7
1277,3767857,893320,335579,760628,841635	6
1277,4828797,893320,335579,760628,841635	6
1277,1196207,893320,335579,760628,841635	6
1395,2482,893320,335579,760628,841635	6
2047094,2482,893320,335579,760628,841635	6
1280,2485,395134,7105974,762364,7680975	6
1284,1031885,331974,1030736,762367,1404088	6
1284,586853,331974,1030736,762367,1404088	6
1290,2495,397600,2740016,2817722,3835307	6
1294,2500,397615,2740013,2817724,7680989	6
1302,2508,397604,2677716,762372,7681209	6
1326,2532,397607,2740038,762385,5921527	6
1326,434255,397607,2740038,762385,5921527	6
1330,2536,395111,1631042,762386,409736	6
1354,2560,1001725,2586112,2817725,7687395	6
1354,999660,1001725,2586112,2817725,7687395	6
1368,1284881,893392,3877600,762390,1996317	6
1373,942405,340366,1008358,2817770,7689024	6
1081166,794537,397699,1264828,762411,2135512	6
1521,2719,397625,354750,765551,1990479	6
1590,2108907,404790,1828928,433116,1962051	6
1590,1157436,404790,1828928,433116,1962051	6
1590,2314620,404790,1828928,433116,1962051	6
1590,2778,404790,1828928,433116,1962051	6
1647,2823,340624,2951133,433806,1962497	6
1705,436444,347631,1609420,433838,4347052	6
1712,436630,5202869,3090098,433847,1960782	6
1712,339837,5202869,3090098,433847,1960782	6
1718,434347,5594042,2683344,771255,1960784	6
1786,1359955,340636,3090101,832224,1960789	6
1860,1384673,404989,1831768,3633423,1962460	6
1881,970945,340713,3001321,3707388,2992750	6
2412,1076512,341265,3801384,2194645,1996298	6
16492,2483,2593149,752729,3931345,376074	6
328580,2499,397677,3797072,764392,3553144	6
328580,1625231,397677,3797072,764392,3553144	6
370703,2831,397644,3796316,761134,1387547	6
25534,510995,405022,3331849,765505,1995384	6
25534,1235382,405022,3331849,765505,1995384	6
436243,436246,404974,1160750,3931439,742910	6
436243,855403,404974,1160750,3931439,742910	6
436243,1644226,404974,1160750,3931439,742910	6
370708,687613,393581,1804243,3009743,1804246	6
370708,1944130,393581,1804243,3009743,1804246	6
370708,3196143,393581,1804243,3009743,1804246	6
