1003435	Ruokatunnilla käyn ravintolassa syömässä.
1008210	Hän halusi palata kotiin, mutta hän eksyi matkalla.
1008268	Toista jokainen lause perässäni.
1008270	Toista perässäni.
1008273	Kertoisitko herra Tatelle vain, että Helen on tullut tapaamaan häntä.
1008303	Hän meni juuri ulos.
1008310	Poika ei ottanut lainkaan vaarin isänsä neuvoista.
1008316	He ovat menettäneet paljon.
1008324	Puhujan väite oli epäoleellinen.
1008330	Oletko tietoinen siitä seikasta, että sinusta ei puhuta hyvää?
1008331	Luulen, että se kirja löytyy kirjastosta.
1008358	Kuinka pitkään olit siellä?
1008360	Omituinen ääni sai hänet nousemaan sängystä.
1008384	Jos on kuumetta, on parasta jäädä kotiin.
1008385	Kuumeessa kannattaa jäädä kotiin.
1008390	Muutin osoitteeni viime kuussa.
1008392	Kuinka pitkä matka on lentokentältä hotellille?
1009711	Muutin juuri uuteen kotiin.
1009712	Olen juuri muuttanut.
1009717	Hänen huolimaton ajamisensa aiheutti onnettomuuden.
1009723	Taivaalla voi nähdä tuhansittain tähtiä.
1009759	Viisi plus kaksi on seitsemän.
1009761	Minun nimeni on Jack.
1009787	Kenen tämä sateenvarjo on?
1009789	Kenen tämä polkupyörä on?
1009799	Hän menetti työnsä.
1009802	Hän on todella hyvällä tuulella.
1009809	Sade lakkasi.
1009863	Vietin lomani ulkomailla.
1009866	Olen syntynyt kahdeskymmenestoinen marraskuuta vuonna tuhat yhdeksänsataa neljäkymmentäkahdeksan.
1009868	Haluan opiskella englantia.
1009871	Missä koirasi on?
1009872	Joskus niin suuri määrä ongelmia ja stressiä saattaa johtaa irtisanoutumiseen. Sinun on opittava nopeasti kuinka käsitellä tällaisia tilanteita.
1009897	Kirjoitin viime viikolla herra Woodille ja pyysin häntä antamaan sinulle töitä maatilalla.
1009915	Jane puhuu asioista niiden oikeilla nimillä.
1009916	Puhun asioista niiden oikeilla nimillä.
1009917	Hän on sen tyyppinen henkilö, joka kutsuu asioita niiden oikeilla nimillä.
1009920	Puhu asioista niiden oikeilla nimillä.
1009922	Mikset vain puhuisi asioista niiden oikeilla nimillä ja myöntäisi, että hän jätti sinut sen englannin kielikoulussa tapaamansa amerikkalaisen kundin takia.
1009923	Tällainen musiikki ei ole minun juttuni.
1009924	Olen iloinen, että nautit laskettelemisesta, mutta luulenpa ettei se ole minun juttuni.
1009926	Se ei ole minun juttuni.
1009930	Golf ei ole minun juttuni.
1009934	Klassinen musiikki ei ole minun juttuni.
1009936	Nykyajan kissat eivät syö hiiriä.
